C 84	
11.959721 	4.254047 
12.027256 	4.839349 
12.274884 	5.469674 
12.972744 	5.559721 
12.995256 	6.302605 
13.513023 	6.797860 
14.165860 	6.842884 
14.098326 	7.360651 
14.300930 	8.036000 
14.683628 	8.238605 
15.223907 	8.261116 
14.863721 	8.936465 
14.683628 	9.454233 
13.985767 	9.476744 
13.445488 	9.701860 
14.098326 	10.332186 
14.661116 	10.714884 
14.323442 	11.457767 
14.481023 	12.200651 
13.670605 	12.290698 
12.927721 	12.695907 
12.837674 	13.416279 
12.000000 	14.000000 
11.216837 	15.059628 
10.631535 	14.654419 
9.821116 	14.496837 
9.235814 	14.384279 
8.718047 	13.911535 
7.705023 	13.776465 
7.569953 	12.808465 
6.962140 	12.673395 
6.962140 	12.065581 
6.804558 	11.300186 
6.331814 	11.750419 
6.061674 	12.335721 
5.453860 	12.200651 
4.778512 	12.088093 
4.035628 	12.448279 
3.427814 	12.921023 
3.382791 	12.245674 
3.315256 	11.795442 
3.337767 	11.277674 
2.774977 	10.962512 
3.000093 	10.557302 
3.157674 	10.197116 
3.180186 	9.589302 
2.797488 	9.296651 
2.482326 	8.981488 
2.955070 	8.711349 
3.270233 	8.171070 
3.382791 	7.743349 
3.045116 	7.360651 
2.639907 	7.158047 
3.090140 	6.977953 
3.517860 	6.527721 
4.000000 	6.000000 
4.643442 	5.897395 
5.498884 	5.964930 
6.000000 	6.000000 
6.714512 	6.122512 
7.161849 	5.744616 
6.812995 	5.214358 
6.506003 	4.600375 
6.296690 	3.986392 
6.059470 	3.344500 
5.808295 	2.800288 
6.506003 	2.646792 
7.217665 	2.590975 
7.747924 	2.577021 
8.027007 	3.163096 
8.194457 	3.749171 
8.487494 	4.488741 
8.808440 	4.991091 
8.961936 	5.577166 
9.000000 	6.000000 
9.115432 	6.540004 
9.464286 	6.316737 
9.659644 	6.023699 
9.952681 	5.646937 
10.203856 	5.353900 
10.468986 	4.977137 
10.762023 	4.684100 
11.138785 	4.446879 
11.487640 	4.321291 
H	45
11.943509 	6.632744 
12.157860 	7.029000 
12.358129 	7.382415 
12.146080 	7.747610 
12.122519 	8.371975 
12.000000 	9.000000 
12.240324 	9.031682 
12.440592 	9.396877 
12.287446 	9.703170 
12.228543 	10.068365 
12.322787 	10.492462 
12.413497 	10.931874 
12.491248 	11.333588 
12.335746 	11.566842 
12.232077 	11.942639 
12.167285 	12.305478 
11.959948 	12.577607 
11.661902 	12.720151 
11.428649 	12.694234 
11.389773 	12.370271 
11.324980 	12.098141 
11.286105 	11.787137 
11.260188 	11.424298 
11.091727 	11.204003 
11.000000 	11.000000 
10.780722 	10.854123 
10.858473 	10.581994 
10.962142 	10.296906 
11.000000 	10.000000 
10.975100 	9.700814 
10.962142 	9.337975 
10.819598 	9.014011 
10.625220 	8.780758 
10.638178 	8.417919 
10.521552 	8.236500 
10.301257 	8.068039 
10.029127 	7.847744 
9.964335 	7.562656 
10.236464 	7.433071 
10.677054 	7.458988 
10.728888 	7.173900 
10.897349 	6.849937 
11.208354 	6.746269 
11.467524 	6.538932 
11.765570 	6.487098 
H	17
9.482995 	11.426859 
9.604181 	11.678986 
9.667138 	11.978032 
9.706486 	12.355774 
9.816661 	12.631211 
9.808791 	12.922388 
9.500000 	13.000000 
9.320874 	13.040432 
9.076916 	12.922388 
8.919523 	12.607602 
8.699174 	12.363644 
8.581129 	12.143294 
8.636217 	11.985902 
8.612608 	11.804900 
8.746391 	11.529463 
9.029698 	11.411419 
9.250048 	11.387810 
H	11
7.038947 	10.232203 
6.621293 	10.336616 
6.084310 	10.381365 
5.785986 	10.381365 
5.293751 	10.381365 
5.084925 	10.172538 
5.084925 	9.829465 
5.562243 	9.531141 
6.009729 	9.560974 
6.412466 	9.739968 
6.815204 	9.844381
