C 82	
15.080000 	6.300000 
15.340000 	7.120000 
15.500000 	8.060000 
15.800000 	8.700000 
15.680000 	9.400000 
15.660000 	10.320000 
15.600000 	10.960000 
15.400000 	11.360000 
15.320000 	11.840000 
15.140000 	12.180000 
14.880000 	12.600000 
14.380000 	12.800000 
14.000000 	13.000000 
13.700000 	13.380000 
13.460000 	13.660000 
12.800000 	13.660000 
12.220000 	13.620000 
11.740000 	13.800000 
11.360000 	13.640000 
11.200000 	13.240000 
10.840000 	12.720000 
11.000000 	14.240000 
10.550000 	15.300000 
9.980000 	14.390000 
9.700000 	12.920000 
9.340000 	13.540000 
8.840000 	14.140000 
8.160000 	14.360000 
7.460000 	14.340000 
7.000000 	14.000000 
6.400000 	13.960000 
6.260000 	13.540000 
6.280000 	13.180000 
5.860000 	13.100000 
5.340000 	12.940000 
5.380000 	12.500000 
5.040000 	12.140000 
5.240000 	11.700000 
5.540000 	11.260000 
5.400000 	10.840000 
5.440000 	10.380000 
5.240000 	10.020000 
4.940000 	9.540000 
4.800000 	9.060000 
5.020000 	8.580000 
4.880000 	8.180000 
5.160000 	7.760000 
5.380000 	7.240000 
5.060000 	6.760000 
5.520000 	6.680000 
6.100000 	6.780000 
6.140000 	7.380000 
6.720000 	7.580000 
7.320000 	7.880000 
7.680000 	7.880000 
7.300000 	7.480000 
7.040000 	7.160000 
7.060000 	6.740000 
7.020000 	6.160000 
6.920000 	5.780000 
6.980000 	5.260000 
7.400000 	4.980000 
7.640000 	4.560000 
7.860000 	4.160000 
8.420000 	3.860000 
8.780000 	3.700000 
9.400000 	3.480000 
10.020000 	3.220000 
10.400000 	2.880000 
10.720000 	2.500000 
11.000000 	2.000000 
11.380000 	2.700000 
11.360000 	3.480000 
11.580000 	4.060000 
12.000000 	4.800000 
12.260000 	5.520000 
12.540000 	6.080000 
13.040000 	6.480000 
13.060000 	7.140000 
13.500000 	7.300000 
14.000000 	7.000000 
14.480000 	6.640000 
H	12
13.305000 	9.345000 
13.423000 	9.758000 
13.379000 	10.156000 
12.922000 	10.451000 
12.391000 	10.377000 
12.229000 	10.112000 
12.000000 	10.000000 
11.890000 	9.611000 
11.905000 	9.301000 
12.156000 	9.036000 
12.627000 	8.800000 
13.143000 	8.977000 
H	13
10.000000 	11.000000 
9.783000 	11.541700 
8.825000 	12.204700 
7.779000 	11.777000 
7.513400 	11.143000 
7.101000 	10.554000 
7.661000 	9.964000 
7.985000 	9.817000 
8.427000 	9.625000 
8.736000 	9.301000 
9.871000 	9.684000 
10.195000 	10.156000 
10.077000 	10.539000 
H	13
11.787000 	8.078000 
11.168000 	7.813000 
10.652000 	7.768000 
10.166000 	7.960000 
9.532000 	8.358000 
8.781000 	8.520000 
8.722000 	7.857000 
8.840000 	7.253000 
9.341000 	6.869000 
10.932000 	6.383000 
11.699000 	6.545000 
12.052000 	7.208000 
12.214000 	7.724000 
