C 101	
7.614689 	32.966779 
7.521755 	32.006458 
8.234251 	31.727656 
8.944929 	31.444721 
8.482075 	30.550488 
9.194571 	30.085817 
9.783155 	29.373321 
9.597287 	28.072242 
9.783155 	26.895074 
9.535330 	25.779863 
8.946747 	24.974433 
8.141316 	24.478784 
7.119040 	24.230959 
6.251653 	23.890200 
6.189697 	22.805967 
5.477201 	22.186405 
4.547859 	21.783690 
3.928297 	20.637501 
3.897888 	19.729797 
3.834854 	18.718219 
4.205456 	17.603311 
5.046759 	17.031225 
5.315975 	15.786097 
5.618844 	14.877491 
6.460147 	14.103492 
7.637970 	14.473665 
8.883098 	14.608274 
8.782142 	13.497755 
8.714837 	12.353583 
10.000000 	12.000000 
11.171441 	12.488192 
11.689968 	11.694094 
11.776340 	10.600044 
11.891503 	9.477203 
11.977876 	8.354363 
11.776340 	7.346685 
11.085361 	6.943614 
10.020102 	6.799660 
9.185169 	6.310217 
8.954843 	5.417702 
9.242751 	4.237280 
10.106475 	3.719046 
11.286897 	3.344766 
12.640064 	3.431138 
13.761541 	3.631819 
14.841578 	3.051800 
15.864631 	3.459929 
17.073844 	4.093326 
17.908777 	5.014631 
18.000000 	6.000000 
18.023940 	7.116359 
17.131426 	7.663384 
17.361752 	8.872597 
18.283057 	9.851483 
18.858873 	10.600044 
18.599756 	11.550140 
18.830082 	12.615399 
18.110313 	13.507913 
16.958681 	14.198892 
15.749468 	14.342846 
14.691168 	14.493319 
14.646715 	15.360158 
15.102214 	16.147805 
16.002540 	16.382583 
16.580433 	17.160516 
16.624886 	17.916221 
15.913633 	18.471887 
16.980512 	18.760834 
17.247232 	19.494313 
16.736019 	20.027752 
16.424846 	20.761231 
16.224806 	21.316897 
15.787448 	22.004919 
16.380393 	22.606042 
17.402818 	22.783856 
18.491924 	22.806082 
19.247629 	22.761629 
20.247828 	22.894989 
20.401281 	23.615306 
20.056169 	24.248012 
19.250907 	24.377429 
18.502548 	24.507021 
17.608918 	24.587218 
16.795485 	24.610132 
16.153905 	24.953836 
15.718546 	25.629786 
15.718546 	26.443219 
15.981043 	27.339579 
16.645230 	28.136604 
17.000000 	29.000000 
16.462579 	29.797072 
15.599020 	30.196510 
14.777619 	30.597660 
14.414674 	31.323549 
14.000000 	32.000000 
13.000000 	32.000000 
11.950470 	31.858416 
11.000000 	32.000000 
10.002029 	32.374179 
9.428958 	32.584305 
8.550250 	32.870841 
H	21
12.513250 	29.068714 
12.411155 	28.302998 
12.232488 	27.511759 
12.130393 	26.822615 
11.594392 	26.643948 
11.588238 	26.110254 
12.262367 	25.957621 
12.155917 	25.418804 
11.517820 	25.291184 
11.092180 	24.800154 
11.562799 	24.291377 
12.271584 	24.205822 
13.086764 	24.252403 
13.508870 	24.838312 
13.000094 	25.334369 
12.974655 	25.817708 
13.534309 	26.313765 
12.972680 	26.720520 
13.100299 	27.562807 
13.304490 	28.481665 
13.202394 	29.323952
H	22
9.689831 	22.511902 
8.950577 	22.318288 
8.510545 	21.807850 
8.510545 	21.279812 
8.140917 	20.839779 
7.894499 	20.258936 
7.722164 	19.485683 
7.613937 	18.697172 
7.753086 	17.908662 
8.264126 	17.337121 
9.020982 	17.125906 
9.462228 	16.667566 
9.653893 	16.169236 
10.270674 	16.210639 
10.182668 	16.809083 
10.059459 	17.425128 
10.112262 	18.305193 
10.464288 	19.185257 
10.534694 	20.170930 
10.706037 	21.032958 
10.288275 	21.702243 
10.599442 	22.519742
H	23
15.749634 	11.486727 
16.000000 	12.000000 
15.697708 	12.490349 
15.096335 	12.559738 
14.420253 	12.298349 
14.546194 	11.626662 
14.900282 	11.138542 
14.825102 	10.469841 
14.600153 	9.727851 
14.545628 	8.964980 
14.564971 	8.261958 
14.201660 	7.524613 
14.029675 	6.750684 
13.298743 	6.320723 
13.535221 	5.740277 
14.309150 	5.568293 
15.134825 	5.895546 
14.862111 	6.625486 
15.233419 	7.487966 
15.232872 	8.162887 
15.526598 	8.965587 
15.551526 	9.756154 
15.777923 	10.661494
