C 106	
6.422645 	5.658512 
6.174711 	5.129587 
6.102826 	4.482357 
6.092105 	3.817647 
6.381575 	3.238707 
6.842584 	2.906352 
7.389361 	2.616882 
8.043349 	2.370296 
8.976087 	2.230921 
9.522864 	2.359575 
9.994594 	2.595439 
10.391275 	2.938515 
10.852283 	3.303033 
11.216801 	3.764042 
11.506272 	4.203608 
11.709973 	4.728943 
11.988722 	5.179230 
12.213866 	5.350768 
12.514057 	5.361489 
13.000000 	5.000000 
13.318141 	4.407309 
13.564727 	4.042791 
13.972130 	3.463850 
14.476023 	3.088611 
15.108569 	2.766977 
15.601740 	2.616882 
16.030585 	2.456065 
16.566641 	2.305969 
17.124140 	2.295248 
17.788849 	2.273806 
18.432117 	2.348853 
18.753750 	2.606160 
19.000000 	3.000000 
19.204037 	3.517456 
19.311249 	3.924858 
19.429181 	4.439472 
19.472065 	5.029134 
19.450623 	5.511585 
19.311249 	6.154852 
19.118268 	6.723071 
18.710866 	7.087589 
18.410674 	7.323454 
18.078320 	7.516434 
18.646539 	7.687972 
19.568556 	7.880952 
20.297592 	8.031048 
20.930138 	8.331240 
21.584127 	8.706479 
21.841433 	9.349746 
21.841433 	10.068061 
21.691338 	10.700608 
21.444752 	11.236664 
21.015907 	11.794162 
20.597783 	12.126517 
20.147496 	12.351660 
19.568556 	12.576804 
18.925288 	12.694736 
18.427854 	12.661054 
17.854255 	12.622814 
17.408123 	12.457108 
16.949243 	12.202175 
16.783537 	12.661054 
16.732551 	13.298386 
16.541351 	13.859239 
16.337405 	14.534811 
15.674579 	15.082917 
15.215700 	15.478063 
14.552874 	15.783982 
13.839062 	16.064408 
13.188983 	16.268355 
12.500664 	16.344835 
11.952559 	16.332088 
11.251493 	16.281101 
10.792614 	16.064408 
10.346481 	15.758489 
9.951335 	15.261370 
9.760136 	14.942704 
9.568936 	14.343611 
9.670909 	13.731772 
9.785629 	13.183667 
10.180775 	12.418868 
10.703387 	11.539349 
10.066055 	11.539349 
9.339496 	11.679562 
8.536458 	11.705056 
8.026592 	11.743296 
7.210806 	11.781536 
6.688194 	11.756042 
6.063608 	11.705056 
5.286063 	11.552096 
4.648731 	11.399136 
3.998652 	11.169697 
3.476039 	10.851031 
3.029907 	10.532364 
2.469054 	10.022499 
2.163135 	9.499886 
2.000000 	9.000000 
1.755242 	8.276208 
1.755242 	7.677116 
2.000000 	7.000000 
2.430815 	6.670131 
2.915187 	6.325971 
3.514279 	6.071039 
4.075132 	5.828852 
4.763451 	5.688639 
5.528249 	5.701386 
H	33
5.043877 	6.733864 
5.655716 	6.861331 
6.089102 	7.179997 
6.509741 	7.447676 
6.853900 	7.689863 
7.312780 	7.689863 
7.720672 	7.587889 
8.141312 	7.460423 
8.791391 	7.473170 
9.135550 	7.677116 
9.556189 	8.046769 
9.696402 	8.505648 
9.670909 	9.041007 
9.390483 	9.487139 
9.084563 	9.844046 
8.510964 	10.124472 
7.809899 	10.302925 
7.121580 	10.341165 
6.471501 	10.290178 
5.897902 	10.239192 
5.260570 	10.073485 
4.890917 	9.716579 
4.712464 	9.257700 
4.393798 	9.002767 
4.000000 	9.000000 
3.654492 	8.926287 
3.437799 	8.735087 
3.437799 	8.365435 
3.641746 	7.983035 
3.909425 	7.689863 
4.215345 	7.460423 
4.432038 	7.090770 
4.584998 	6.823091 
H	25
9.000000 	4.000000 
9.441469 	3.929602 
9.849362 	4.082562 
10.219015 	4.350241 
10.473948 	4.694401 
10.652401 	5.140533 
10.665147 	5.586666 
10.601414 	5.943572 
10.588667 	6.198505 
10.869094 	6.491678 
11.124027 	6.835837 
11.085787 	7.205490 
10.932827 	7.485916 
10.639654 	7.664369 
10.320988 	7.536903 
10.117042 	7.269223 
10.000000 	7.000000 
9.900349 	6.504425 
9.696402 	6.236745 
9.250270 	6.058292 
8.867870 	5.841599 
8.485471 	5.522933 
8.370751 	5.013067 
8.536458 	4.592428 
8.702164 	4.210028 
H	38
13.036023 	5.599413 
13.367436 	5.561173 
13.762582 	5.650399 
14.093995 	5.675893 
14.348928 	5.612159 
14.241493 	5.304221 
14.063931 	4.981382 
14.152712 	4.666614 
14.322202 	4.521337 
14.701538 	4.480982 
15.097016 	4.537479 
15.371429 	4.747324 
15.605488 	4.957169 
15.879901 	5.094376 
16.138172 	5.110518 
16.267308 	4.860318 
16.243095 	4.569763 
16.259237 	4.263066 
16.500000 	4.000000 
16.929128 	4.045149 
17.397244 	4.150072 
17.776580 	4.392201 
17.978355 	4.828034 
18.075207 	5.336505 
18.018710 	5.731983 
17.647445 	6.014467 
17.179328 	6.046751 
16.500000 	6.000000 
16.235024 	6.361519 
15.920256 	6.765068 
15.395642 	6.966843 
14.830674 	7.087907 
14.297990 	7.160546 
13.821802 	7.071765 
13.507034 	6.732784 
13.143840 	6.442229 
