C 193	
3.417071 	8.454365 
4.334868 	8.483971 
4.778963 	7.684600 
5.252665 	8.454365 
6.140855 	8.483971 
6.614557 	7.743813 
6.111249 	6.914835 
7.147471 	6.885229 
7.561960 	6.085858 
8.006055 	6.914835 
8.923851 	6.885229 
8.509363 	7.625387 
9.012671 	8.483971 
10.048893 	8.543184 
10.433775 	7.684600 
10.966689 	8.513578 
11.884486 	8.454365 
12.387794 	7.625387 
11.795667 	6.855623 
12.772676 	6.855623 
13.246378 	5.967432 
12.713464 	5.316093 
11.884486 	5.227274 
12.239762 	4.368690 
11.795667 	3.569318 
12.772676 	3.598925 
13.246378 	2.740341 
13.660867 	3.539712 
14.578663 	3.628531 
15.141184 	2.769947 
14.697089 	2.029788 
15.585279 	2.029788 
15.999768 	1.111992 
16.503076 	1.940969 
17.361660 	1.940969 
16.976777 	2.769947 
17.272841 	3.598925 
18.400524 	3.540657 
18.800930 	2.773213 
19.286072 	3.598925 
20.174263 	3.539712 
19.789380 	4.398296 
20.174263 	5.256880 
19.286072 	5.375305 
18.817613 	6.043193 
19.334804 	6.793954 
20.144656 	6.855623 
19.818986 	7.654994 
20.203869 	8.454365 
21.180878 	8.454365 
21.624974 	7.684600 
22.087593 	8.428944 
23.121975 	8.428944 
23.522381 	7.711550 
23.038557 	6.810637 
23.939470 	6.760587 
24.490028 	6.043193 
24.973851 	6.810637 
25.824713 	6.810637 
25.307523 	7.661499 
25.774663 	8.412260 
26.825728 	8.378893 
27.259501 	7.661499 
27.693274 	8.378893 
28.610870 	8.395577 
28.277199 	9.213072 
28.694288 	10.030567 
27.743324 	10.063934 
27.309551 	10.864745 
27.743324 	11.682240 
28.710971 	11.665557 
28.193781 	12.516419 
28.710971 	13.283863 
27.626539 	13.267180 
27.259501 	14.218143 
26.809044 	13.233813 
25.824713 	13.200445 
25.324206 	14.084675 
26.000000 	15.000000 
24.790332 	14.952220 
24.423293 	15.719665 
24.923801 	16.587211 
25.841397 	16.520476 
25.324206 	17.354655 
25.841397 	18.038681 
26.842411 	18.155466 
27.259501 	17.304604 
27.726641 	18.055365 
28.710971 	18.122099 
28.274203 	18.932890 
28.731341 	19.752584 
27.659433 	19.831401 
27.265349 	20.635332 
27.769776 	21.423500 
28.668287 	21.470790 
28.274203 	22.227431 
28.731341 	22.999835 
27.738249 	22.952545 
27.312639 	23.772240 
26.792448 	22.999835 
25.799357 	22.968309 
25.326456 	23.803766 
25.909700 	24.733804 
24.837792 	24.733804 
24.475235 	25.395865 
24.033861 	24.686514 
22.993480 	24.576171 
23.592487 	23.788003 
23.000000 	23.000000 
22.000000 	23.000000 
21.716648 	23.898347 
21.716648 	23.898347 
21.164931 	22.968309 
20.282183 	22.999835 
19.793519 	23.851056 
20.329473 	24.654988 
19.289092 	24.686514 
18.863481 	25.427392 
19.336382 	26.231323 
20.203366 	26.278613 
19.809282 	27.051017 
20.282183 	27.744605 
19.257565 	27.886475 
18.841932 	28.726425 
18.453634 	27.839185 
17.473477 	27.857271 
17.011162 	28.670947 
17.491970 	29.558593 
16.604324 	29.558593 
16.049545 	30.335283 
15.735170 	29.595578 
14.681090 	29.577086 
15.124914 	28.615469 
14.755061 	27.894256 
13.700981 	27.857271 
13.201680 	28.763410 
12.794842 	27.912749 
11.740762 	27.912749 
12.424990 	27.080581 
11.814733 	26.414846 
12.794842 	26.303890 
13.275651 	25.453229 
12.850320 	24.861465 
11.925689 	24.713524 
12.369512 	23.751907 
12.000000 	23.000000 
10.871609 	22.993710 
10.464771 	23.936834 
10.000000 	23.000000 
9.000000 	23.000000 
8.449074 	23.788893 
9.059331 	24.639554 
8.023744 	24.750509 
7.616906 	25.527200 
7.210068 	24.750509 
6.174481 	24.676539 
6.747753 	23.770400 
6.248452 	23.012202 
5.323820 	22.975217 
4.806026 	23.788893 
4.343711 	23.012202 
3.400587 	23.012202 
3.862902 	22.254004 
3.474557 	21.421836 
4.362203 	21.440329 
4.769041 	20.719116 
4.491652 	19.905440 
3.493050 	19.868455 
3.862902 	19.110257 
3.345109 	18.167133 
4.417681 	18.167133 
4.769041 	17.408935 
5.249850 	18.204119 
6.155988 	18.204119 
6.618304 	17.464413 
6.100510 	16.558275 
7.117605 	16.576767 
7.653891 	15.744599 
7.136098 	14.949416 
6.174481 	15.004894 
6.610077 	14.123311 
6.181003 	13.265162 
5.203666 	13.217487 
4.726917 	14.123311 
4.369355 	13.217487 
3.463531 	13.241325 
3.892606 	12.502363 
3.487369 	11.763401 
4.297843 	11.739564 
4.774592 	11.024440 
4.464705 	10.142453 
3.463531 	10.094778 
3.964118 	9.236630 
H	6
13.194025 	10.799808 
18.806602 	10.799808 
21.164084 	15.633016 
18.818568 	20.487689 
13.194248 	20.490114 
10.838981 	15.645638
