C 106	
20.500060 	27.225586 
19.793232 	27.100240 
19.477856 	26.702866 
19.165620 	26.288791 
18.693926 	26.729040 
18.395186 	26.493192 
17.844875 	26.933441 
17.954937 	26.367407 
17.467519 	26.147283 
16.980101 	25.659865 
16.508406 	24.936599 
16.068158 	24.685029 
15.690802 	24.307673 
15.392062 	23.788808 
14.951813 	23.395729 
14.637350 	22.719633 
14.998983 	22.232215 
14.715966 	21.823413 
14.313222 	22.037894 
14.275717 	21.351718 
14.181378 	20.880024 
13.410943 	20.880024 
12.706450 	20.734039 
12.121644 	21.257380 
11.508441 	21.571843 
10.958130 	21.147317 
10.502159 	20.628453 
10.313481 	19.858018 
10.410154 	19.164705 
10.375915 	18.394319 
11.163420 	18.069045 
11.968915 	17.836582 
12.234346 	17.398498 
12.940310 	17.257305 
13.378008 	16.777250 
13.999257 	16.621937 
14.069853 	15.788899 
13.773631 	15.159029 
13.583098 	14.349264 
13.903975 	13.832307 
13.540240 	13.095326 
12.392267 	13.039349 
11.368152 	12.991716 
11.749218 	12.301034 
10.778546 	11.939024 
9.815751 	12.162281 
8.755282 	12.455305 
8.406443 	11.562278 
8.015744 	10.752973 
8.755282 	9.859946 
8.280861 	8.897152 
8.391073 	7.894957 
7.552613 	7.625805 
6.664512 	7.487996 
6.509560 	6.561226 
6.747726 	5.680011 
7.318680 	4.902482 
8.179325 	4.615600 
8.978495 	4.963957 
9.859632 	4.759041 
10.155666 	4.165275 
11.000000 	4.000000 
11.695794 	3.643298 
12.625990 	3.406599 
13.875974 	3.140209 
14.680919 	2.697352 
15.383316 	2.250373 
16.298560 	1.845962 
16.511407 	2.803776 
16.327233 	3.705160 
16.734576 	4.276139 
17.469221 	4.442702 
17.842329 	5.206496 
17.246816 	5.610343 
16.958387 	6.145481 
16.754105 	6.662029 
17.533075 	6.571176 
18.512174 	6.379614 
19.427418 	6.251905 
20.129814 	6.890448 
19.725404 	7.805692 
19.108147 	8.720936 
19.150716 	9.465902 
18.653869 	9.907304 
18.490889 	10.913265 
18.125895 	11.858452 
18.446180 	12.666791 
18.781717 	13.551389 
18.979989 	14.573252 
18.751214 	15.473102 
18.659704 	16.433958 
18.720710 	17.425318 
18.595778 	18.293985 
18.707275 	18.917512 
19.125502 	19.459378 
19.311790 	20.132399 
19.452764 	21.028239 
19.105752 	21.657200 
18.786479 	22.425830 
19.300946 	23.142849 
19.810621 	23.706744 
19.962439 	24.509211 
20.060037 	25.311678 
20.523973 	25.889283 
20.735862 	26.409352 
20.336591 	26.724577 
H	20
12.297017 	11.303481 
12.299711 	10.693323 
13.132050 	10.645761 
13.805499 	10.702572 
14.494949 	10.460660 
14.664287 	9.867975 
14.463794 	9.242674 
13.845484 	8.838395 
13.036926 	8.862176 
12.061899 	9.004863 
11.752744 	8.481678 
12.680209 	8.267647 
14.000000 	8.000000 
14.986979 	8.243866 
15.641394 	8.932024 
15.794789 	9.890747 
15.737266 	10.791947 
15.162032 	11.117913 
14.375879 	11.424704 
13.378806 	11.482228 
H	24
14.131360 	19.654502 
14.110099 	19.144249 
14.673504 	19.133618 
15.141236 	19.133618 
15.296097 	18.655176 
15.577077 	18.187524 
15.779052 	17.645380 
16.076700 	17.241430 
16.108591 	16.816219 
15.671731 	16.412646 
15.935768 	16.002933 
16.509366 	16.257866 
17.073859 	16.494589 
17.609177 	16.722772 
17.331072 	17.294581 
16.842080 	17.198908 
16.565537 	17.681939 
16.311649 	18.316659 
16.163548 	18.993693 
15.938507 	19.558829 
16.396278 	19.966930 
15.951974 	20.474706 
15.417623 	20.196646 
14.801067 	19.984040 
H	15
9.789834 	7.312521 
9.679114 	6.774735 
10.137814 	6.410938 
11.023580 	6.426755 
11.830259 	6.316035 
12.399680 	5.794066 
12.795111 	5.177193 
13.870684 	4.655224 
14.803902 	5.193010 
13.902319 	5.525172 
13.222177 	5.857335 
13.000735 	6.600745 
12.494584 	7.106897 
11.434828 	7.122714 
10.564879 	7.154349 
