C 93	
7.629820 	2.559680 
8.584388 	2.515804 
9.527733 	2.515804 
10.383324 	2.822939 
11.282792 	3.239766 
12.000000 	4.000000 
12.555210 	5.082578 
12.818469 	6.223367 
12.818469 	7.429970 
13.388863 	6.925391 
14.266393 	6.574379 
15.056170 	6.420811 
15.911761 	6.311120 
16.942858 	6.179490 
17.860215 	6.155317 
19.123429 	6.386227 
20.359478 	6.834465 
21.554777 	7.391366 
22.410503 	8.179177 
22.682162 	9.034902 
22.641413 	9.863462 
22.233925 	10.488278 
21.527611 	11.018013 
20.902796 	11.439084 
20.155734 	11.887321 
19.911240 	12.430639 
20.345895 	12.906043 
21.000000 	13.000000 
21.500445 	13.286365 
22.016597 	13.816100 
22.410503 	14.373001 
22.532750 	15.147229 
22.482867 	15.938105 
22.109441 	16.595335 
21.497022 	17.088257 
20.780043 	17.416872 
20.033191 	17.581180 
19.286339 	17.730550 
18.554424 	17.730550 
17.807571 	17.730550 
17.195152 	17.715613 
16.358678 	17.730550 
15.581951 	17.640928 
14.850036 	17.521432 
14.267491 	17.282439 
13.819380 	16.953824 
13.565450 	16.699894 
13.341394 	16.371279 
12.788724 	16.684957 
12.280864 	16.998635 
11.743131 	17.252565 
11.190460 	17.491558 
10.592978 	17.715613 
9.905874 	17.835110 
9.323329 	17.879921 
8.710910 	17.909795 
8.143302 	17.909795 
7.515946 	17.835110 
6.978213 	17.491558 
6.653044 	17.103967 
6.295895 	16.601314 
6.097480 	16.158186 
6.004886 	15.695216 
6.018114 	15.205791 
6.150391 	14.749435 
6.368648 	14.286465 
5.806470 	14.392287 
5.131857 	14.458425 
4.576293 	14.425356 
3.941363 	14.286465 
3.378865 	13.936642 
2.948028 	13.505805 
2.530656 	12.994187 
2.207528 	12.374859 
2.045965 	11.728605 
2.126746 	11.082350 
2.301774 	10.436095 
2.611437 	9.762913 
3.042274 	9.264759 
3.540429 	8.820458 
4.092438 	8.470404 
4.698302 	8.228058 
5.250311 	8.079958 
4.859865 	7.756831 
4.536738 	7.164431 
4.361711 	6.598958 
4.280929 	5.844994 
4.348247 	5.091030 
4.725229 	4.350530 
5.142602 	3.758130 
5.627293 	3.313830 
6.300475 	2.977239 
6.919802 	2.707966 
H	28
4.806011 	10.516877 
5.438802 	10.180286 
6.111984 	10.368777 
6.825557 	10.597659 
7.364102 	10.651513 
7.592984 	10.368777 
8.212312 	10.193750 
8.912421 	10.301459 
9.531748 	10.503413 
10.000000 	11.000000 
10.258785 	11.540114 
10.474203 	11.903632 
10.420349 	12.321005 
10.258785 	12.590278 
9.787558 	12.563350 
9.262476 	12.428714 
8.683539 	12.442178 
8.198848 	12.711450 
7.781475 	13.007650 
7.323711 	13.263460 
6.663993 	13.411560 
6.058129 	13.478878 
5.465729 	13.384632 
5.142602 	13.209605 
4.792547 	12.832623 
4.536738 	12.307541 
4.429029 	11.647823 
4.496347 	11.028495 
H	31
6.731311 	5.535330 
7.189075 	5.144885 
7.660302 	4.902539 
8.212312 	4.740975 
8.939348 	4.673657 
9.612530 	4.781366 
10.353030 	5.185276 
10.676158 	5.656503 
10.810794 	6.491249 
10.945431 	7.285603 
11.228167 	7.931858 
11.712858 	8.483867 
12.345649 	8.726213 
13.113077 	8.820458 
13.638159 	8.658895 
13.988213 	8.537722 
14.270950 	8.941631 
14.567150 	9.534031 
14.540222 	10.059113 
14.122850 	10.328386 
13.516986 	10.503413 
12.789949 	10.543804 
11.874422 	10.489950 
10.999285 	10.220677 
10.204930 	9.614813 
9.450967 	9.035877 
8.831639 	8.456940 
8.104603 	7.837613 
7.566057 	7.150967 
7.135220 	6.572031 
6.839020 	6.020021 
H	26
12.345649 	12.199832 
12.803413 	11.876705 
13.463131 	11.768996 
14.122850 	11.768996 
14.230559 	12.347932 
14.176704 	13.007650 
13.974750 	13.680832 
13.853577 	14.125133 
13.490059 	14.609824 
12.951513 	14.865633 
12.345649 	15.161833 
11.780176 	15.525351 
11.282022 	15.915797 
10.958894 	16.225460 
10.460740 	16.265851 
9.976048 	16.265851 
10.070294 	15.808088 
10.312639 	15.363787 
10.689621 	15.040660 
11.174312 	14.852169 
11.753249 	14.609824 
12.278331 	14.313624 
12.641849 	13.990496 
12.736095 	13.546196 
12.520676 	13.196141 
12.251404 	12.846087 
12.345649 	12.199832 
H	34
16.357814 	8.753140 
16.977141 	8.403086 
17.636860 	8.133813 
18.431214 	8.012640 
19.171715 	8.053031 
19.750651 	8.254986 
19.966069 	8.645431 
19.804506 	9.170513 
19.373669 	9.695595 
18.835124 	10.072577 
18.350433 	10.503413 
18.188869 	10.853468 
18.121551 	11.674750 
18.269651 	12.401787 
18.511996 	13.209605 
19.000000 	14.000000 
19.562160 	14.448260 
20.141097 	14.946415 
20.558470 	15.579206 
20.652715 	16.292779 
19.898751 	16.548588 
19.131324 	16.642833 
18.027305 	16.400488 
17.354123 	16.050433 
16.721332 	15.417642 
16.398205 	14.825242 
16.196250 	14.152060 
16.102005 	13.384632 
15.980832 	12.630669 
15.859659 	11.970950 
15.765414 	11.270841 
15.778877 	10.530341 
15.832732 	9.937941 
16.034686 	9.291686
