C 107	
20.247055 	36.176447 
20.127914 	35.089289 
20.000000 	34.000000 
19.651351 	32.914971 
18.510900 	32.176635 
17.060555 	31.625095 
16.284314 	30.501588 
15.405936 	29.643638 
14.000000 	30.000000 
12.689093 	30.297314 
11.626868 	31.032701 
10.965200 	30.460478 
11.466420 	29.458038 
11.707006 	28.255110 
12.007738 	26.971986 
10.905054 	27.012084 
9.481589 	27.072230 
8.459100 	26.731400 
7.737343 	27.673694 
6.714854 	27.493255 
5.271340 	27.012084 
3.867924 	26.510864 
4.409241 	25.428228 
3.867924 	24.325544 
4.709973 	23.543641 
6.073292 	23.423348 
7.376464 	22.861981 
8.676525 	22.385297 
9.581341 	21.643347 
10.413771 	20.557568 
10.685216 	19.019381 
11.719382 	18.060435 
12.611169 	17.534134 
13.093611 	16.598488 
12.845080 	15.458170 
13.532195 	14.581003 
14.114799 	13.557462 
14.316365 	12.368224 
13.429475 	11.481335 
12.567460 	10.288430 
12.441803 	8.981920 
12.167046 	7.593022 
11.996749 	6.273223 
12.933135 	5.192408 
14.362160 	4.646851 
16.000000 	4.000000 
17.528226 	3.914074 
18.599263 	4.328669 
20.188542 	3.603128 
21.328678 	2.704840 
23.021606 	2.739389 
24.480265 	3.427978 
24.334490 	5.054210 
25.578274 	6.056147 
26.718409 	7.265382 
28.134941 	6.747138 
29.758771 	6.816237 
30.898906 	5.745201 
32.488186 	5.365156 
34.353862 	6.401643 
35.839493 	7.576328 
36.228770 	9.191152 
34.941205 	9.683851 
34.872106 	11.273131 
34.153597 	12.396142 
34.891436 	13.479844 
35.098954 	14.494373 
34.412442 	15.346357 
34.769985 	16.448779 
34.263466 	17.461816 
33.086274 	17.773598 
32.594935 	18.802600 
33.277892 	19.833091 
34.156455 	20.748260 
35.140822 	21.560889 
36.139752 	22.248677 
35.992369 	23.198479 
36.041497 	24.344792 
36.574043 	25.469888 
36.978840 	26.603322 
37.642709 	27.380534 
37.626517 	28.254897 
36.690172 	28.698430 
35.987068 	29.201763 
35.366813 	28.857176 
34.738579 	29.193440 
34.000000 	29.000000 
33.661109 	29.735872 
33.092541 	30.373357 
32.155363 	30.150813 
31.491420 	30.611884 
30.606162 	30.372127 
29.942219 	31.146727 
29.020076 	31.773785 
28.749119 	32.510878 
27.858175 	32.363956 
26.991361 	32.474614 
27.032312 	33.427368 
26.327417 	33.931600 
25.569053 	34.404283 
24.676040 	34.890378 
24.338610 	35.659564 
23.355201 	35.876247 
22.738487 	36.509629 
22.641181 	37.211519 
22.000000 	37.000000 
21.168508 	36.749748 
H	25
22.787862 	31.878598 
21.971127 	30.850117 
21.456886 	29.609889 
21.275390 	28.339413 
21.214891 	27.038686 
21.305639 	25.707711 
22.182873 	25.677461 
22.303871 	26.978188 
22.485367 	28.248664 
23.332352 	29.186397 
24.179337 	28.581408 
24.542330 	27.492428 
25.047622 	26.483326 
26.085894 	25.607284 
27.318841 	24.958365 
28.486896 	24.244553 
29.557614 	25.120595 
28.778910 	25.964190 
28.228820 	27.174152 
26.734813 	27.424259 
25.812807 	28.369662 
25.419564 	29.609889 
24.481831 	30.638371 
25.086820 	31.757600 
24.058339 	32.332340 
H	21
20.697269 	15.952831 
20.037720 	15.235930 
20.611240 	14.031536 
21.242113 	13.257283 
21.098733 	12.110241 
19.980368 	11.278636 
18.862002 	10.361003 
18.689946 	9.156609 
18.919354 	8.267652 
20.000000 	8.000000 
20.840649 	7.321342 
21.041381 	6.088272 
22.131071 	7.378694 
22.532535 	8.898525 
24.000000 	10.000000 
25.228084 	10.877172 
24.568535 	11.938185 
22.991352 	11.852157 
22.303127 	12.597734 
22.000000 	14.000000 
21.672254 	15.149902 
H	23
14.834241 	25.777746 
14.295693 	25.137610 
14.000000 	24.000000 
13.831820 	23.050182 
14.000000 	22.000000 
14.527630 	21.449821 
15.385794 	21.264272 
16.359927 	20.522075 
18.006676 	20.638043 
19.212745 	20.846786 
20.279653 	20.359720 
20.859494 	19.455168 
21.764046 	18.875327 
22.413468 	19.803072 
22.552630 	21.217884 
22.000000 	22.000000 
20.929075 	22.493535 
19.653424 	22.377566 
18.586517 	22.145630 
17.055737 	22.377566 
16.081604 	23.282119 
15.501763 	24.464994 
15.548150 	25.415934
