C 81	
4.540449 	4.295858 
5.000000 	4.000000 
5.627085 	3.851325 
6.170403 	3.715495 
6.713721 	3.666103 
7.244690 	3.653755 
7.825053 	3.727844 
8.257237 	3.987154 
8.652378 	4.357598 
9.010474 	4.826828 
9.269784 	5.345449 
9.479703 	5.888767 
9.640229 	6.604959 
9.763710 	6.073989 
9.961280 	5.567716 
10.195895 	5.012050 
10.504598 	4.493428 
11.000000 	4.000000 
11.529493 	3.703147 
12.122204 	3.493229 
12.776655 	3.345051 
13.431106 	3.320355 
14.110253 	3.443836 
14.814097 	3.653755 
15.406808 	4.011851 
15.863689 	4.493428 
16.246481 	4.975005 
16.444051 	5.617108 
16.444051 	6.395041 
16.135348 	6.926011 
15.740207 	7.210018 
15.283326 	7.518721 
15.826644 	7.740987 
16.419355 	8.024995 
16.851539 	8.494224 
17.246680 	8.963453 
17.592427 	9.494423 
17.765301 	10.087133 
17.703561 	10.828021 
17.444250 	11.457776 
17.184939 	12.038138 
16.728058 	12.470323 
16.221784 	12.853115 
15.567333 	13.112426 
14.986971 	13.137122 
14.480697 	13.149471 
13.999120 	13.149471 
13.394062 	13.063034 
12.850744 	12.927204 
12.467951 	12.704938 
12.097507 	12.334494 
11.801152 	11.914657 
11.566538 	11.334295 
11.480101 	10.877414 
11.467753 	10.383488 
11.000000 	11.000000 
10.591035 	11.433080 
10.000000 	12.000000 
9.393266 	12.260405 
8.677074 	12.408582 
7.960882 	12.470323 
7.429912 	12.470323 
6.849550 	12.470323 
6.367973 	12.285101 
6.000000 	12.000000 
5.713522 	11.667694 
5.392470 	11.272554 
5.133159 	10.926806 
4.947937 	10.556362 
4.824456 	10.148874 
4.812108 	9.704341 
4.824456 	9.235112 
4.947937 	8.617705 
4.589841 	8.271957 
4.207049 	7.950906 
3.836605 	7.419936 
3.688427 	6.938359 
3.614339 	6.345648 
3.651383 	5.777634 
3.774864 	5.160227 
4.083568 	4.690998 
H	26
5.528300 	5.049094 
5.775262 	4.950309 
6.026870 	5.119491 
6.195075 	5.353776 
6.393315 	5.612090 
6.609578 	5.425864 
6.825841 	5.281688 
7.120199 	5.197586 
7.492651 	5.215608 
7.426571 	5.558024 
7.216315 	5.762272 
6.927965 	5.936484 
7.156242 	6.278900 
7.348476 	6.663367 
7.246352 	7.155966 
6.873899 	7.143951 
6.651629 	6.951718 
6.453388 	6.657360 
6.104965 	6.831572 
5.726505 	7.047834 
5.215885 	7.071864 
5.209877 	6.663367 
5.468191 	6.375017 
5.792585 	6.074652 
5.594345 	5.804323 
5.408118 	5.485937 
H	31
7.317658 	11.345347 
7.239137 	10.848047 
7.291485 	10.376920 
7.605569 	9.918880 
8.024348 	9.473927 
8.573996 	9.120582 
9.372294 	8.898106 
10.078983 	8.570935 
10.824934 	8.348458 
11.413842 	7.982027 
11.989663 	7.707203 
12.539311 	7.170642 
12.879569 	6.581734 
13.000000 	6.000000 
13.219827 	5.286136 
13.638606 	4.605620 
13.965777 	5.168354 
13.874169 	5.835783 
13.664780 	6.725689 
13.285261 	7.340771 
12.958090 	7.811898 
12.460790 	8.283024 
11.898055 	8.518587 
11.335321 	8.741064 
10.798760 	8.976627 
10.078983 	9.303798 
9.359207 	9.670230 
8.796472 	10.036662 
8.416954 	10.586310 
8.129043 	11.122870 
7.775698 	11.450042 
H	23
15.000000 	9.000000 
15.235202 	9.434667 
15.143594 	9.892707 
15.667068 	9.892707 
15.908334 	10.117090 
15.888669 	10.480887 
15.544537 	10.657869 
14.944764 	10.687366 
14.895602 	11.070828 
14.757950 	11.336301 
14.433482 	11.444457 
14.207338 	11.257642 
14.138512 	10.992169 
14.177841 	10.697199 
13.597733 	10.530049 
13.263434 	10.362899 
13.096284 	10.038432 
13.342092 	9.763126 
13.666560 	9.664803 
14.158177 	9.723797 
14.285997 	9.389497 
14.413818 	9.104359 
14.698956 	9.006036 
